"","AnimalID","Day1_T1","Day1_T2","Day1_T3","Day1_T4","Day2_T1","Day2_T2","Day2_T3","Day2_T4","Day3_T1","Day3_T2","Day3_T3","Day3_T4","Day4_T1","Day4_T2","Day4_T3","Day4_T4","Day5_T1","Day5_T2","Day5_T3","Day5_T4","Probe_D5_T1","Probe_D8_T1"
"11","210614_1",2.373082563,21.18575827,20.09485587,16.45291215,8.095334183,5.527943328,10.39261724,9.814804477,17.39994699,21.82216051,22.86381149,10.62094301,22.18752548,21.46521842,23.0898046,12.90451384,18.29825713,8.617238683,20.55629344,10.95634532,18.74859279,23.6767877
"12","210614_20",23.45310915,25.29982647,9.374505871,18.9934604,15.30658536,16.360481,17.43023094,13.89938191,15.71090678,5.407320123,7.626256087,1.853278549,13.91694604,6.83465235,11.84969374,3.611273421,7.360604821,5.863631251,7.387724403,2.44415892,14.95002411,15.60174747
"13","210614_21",2.672466201,18.81987977,19.83270882,17.04406807,16.84878734,21.2603432,14.67206597,13.91057031,7.471923264,17.08354125,16.44609838,4.350369739,11.3879911,10.52067236,7.112773604,17.01911726,14.13773771,4.541328805,5.116971536,4.895468625,18.36160695,15.5925256
"14","210614_22",23.86810971,19.26407773,23.1620865,20.19739451,19.76097901,19.08959895,12.06372248,17.09936771,18.14744577,25.20944708,20.24009744,13.61515633,12.77670736,2.993893821,3.90337099,16.51209297,1.714759507,5.143623833,3.457649449,18.86352627,20.1879768,19.59130741
"15","210614_23",22.20226526,15.95934334,17.95320346,8.470155743,13.79198244,4.534800614,16.17760141,18.27601464,20.07413709,23.41581638,16.62571727,8.601886964,17.7854621,15.88342361,16.69820907,1.087155356,3.524484635,11.98249256,3.337392939,11.1794486,20.93112239,15.22943956
"16","210614_24",0.5,4.497441035,20.59186781,16.50089271,14.8625333,12.04385355,20.45625512,20.75392281,12.90855955,14.8033624,9.730814525,15.51189797,6.079263671,10.52553701,18.4036851,10.1112854,9.885775043,2.915927239,8.262600935,5.870558591,19.32141736,20.05527801
"17","210614_25",1.872121009,22.04392919,15.77773079,19.73874588,19.17012355,12.79805966,23.00000128,20.39373937,10.6351611,18.20073176,20.5845761,4.702148335,19.35417615,13.06073931,7.728606479,17.13671158,5.879136738,12.20955243,8.891088804,16.09698408,17.21316779,15.29509002
"18","210614_26",24.16235521,25.16128528,10.19390044,21.50614297,18.35522498,20.00864327,23.25736373,21.1826078,17.33830865,19.00792984,19.43430101,17.74558146,12.21308807,4.100588227,9.875207996,13.83520071,4.172817019,5.744627868,7.679211788,6.264623487,18.47852722,18.53828832
"19","210614_27",2.177853332,18.15849618,17.54596764,13.58114227,14.26461177,15.299322,15.89528923,5.721159786,10.64078432,2.967855691,3.96255492,3.073975359,8.306489499,5.519379993,5.248944837,3.546224743,0.747702844,4.901544777,4.033063037,4.397678446,17.03698825,14.07314145
"20","210614_28",25.44836913,28.85237759,19.22283348,19.87493394,19.19524877,20.37163701,16.64579376,16.2832103,21.07047895,18.60411504,21.3347924,5.012880353,18.20376655,6.641798534,20.62704204,19.32609928,7.122772443,12.41233748,6.932646073,7.735608273,16.50883514,16.83070209
"21","210614_29",7.481062899,10.45798012,25.51278281,16.8461092,20.91281477,7.290705254,15.45039461,11.57783453,10.6341262,6.333086877,8.912941431,7.97714146,7.768272727,3.079377248,6.588349451,5.236327147,1.63677541,6.912726869,2.723140822,4.357036367,17.62628654,17.16322484
"22","210614_2",10.15284713,30.11573404,25.36346026,23.17766731,20.87112907,7.695285117,19.69353211,16.58427607,15.28803769,6.850827099,8.493113699,5.026218433,6.503111933,0.932630354,9.893987575,17.40286246,1.154877233,17.43788031,5.435895989,6.31758257,20.27642412,18.05547377
"23","210614_30",22.21065956,22.66157791,14.39893548,18.57798938,12.03010151,2.322332649,9.731242066,20.51088574,5.894962272,11.08305618,7.68084161,3.838836695,4.098447821,17.89192733,17.70909884,20.75561057,15.13874384,8.68897281,3.321091778,4.746218363,22.42067559,15.50305128
"24","210614_31",5.705077744,27.23949028,25.03744611,26.51029108,19.85313752,15.26639453,18.14498118,20.81690057,18.36253632,17.22947214,15.65133799,1.800063314,19.05554581,15.43881238,8.779910834,7.62848182,18.42633287,22.90846828,18.43983609,23.67003126,18.46358474,15.102208
"25","210614_3",7.373141214,19.269829,18.30764539,14.00108746,15.98789457,5.244841646,13.82298753,19.41582594,16.68358249,3.986940229,3.668224609,3.15054065,2.278219766,4.303318892,6.696840632,7.773667603,10.17150314,13.7325483,4.053738659,11.61945232,21.34637317,21.15486401
"26","210614_4",6.858974724,19.09970059,17.84546413,20.37615289,20.71282656,17.76799873,8.440872788,18.21109375,8.775958429,9.52201165,3.723671746,17.69705512,20.58243819,12.06244776,6.23912231,4.370417547,7.46453069,2.734884773,17.70509332,8.009630922,18.47355153,14.29658547
"27","210614_5",3.093671899,21.23349604,10.49348394,23.82930311,26.088909,1.246165127,27.80859082,15.73549902,19.16158114,17.18660794,16.5307884,18.97115366,3.98510729,3.745944174,8.443118369,2.382739459,7.302392275,4.695590371,2.337925559,3.300034871,15.90108524,14.33059188
"28","210614_6",1.876518832,32.78520781,21.88021641,24.15870573,25.73249275,24.83847697,40.24602408,19.17211308,25.07939582,20.463987,33.73481426,4.219657633,15.87157245,4.400946624,9.046112398,6.215563578,4.458425191,12.0761831,11.76780616,18.59088095,20.88668382,18.54900733
"29","210614_7",27.22493074,18.15747345,19.91967669,21.50369082,10.4401172,20.68890837,21.79106763,21.19839693,11.17184114,7.056145002,25.50238173,27.41315803,4.23350075,4.654656163,3.602580024,3.599306423,5.753667245,6.253144588,5.757388855,1.871970267,20.65553642,22.13247686
"30","210614_8",17.45661621,28.21057749,19.94964329,21.87575745,22.79048706,21.84473481,21.90337315,18.04185828,17.43430763,17.20970712,13.63045295,3.007322808,14.60912736,4.828270042,23.57440186,11.95325294,4.055090879,14.16767768,6.919318017,12.47114013,25.62954835,19.42630217
"31","210614_9",20.52718786,21.91361627,30.32266243,18.62459973,10.35615198,19.66114846,10.6695418,4.915338122,8.842887813,7.94514218,2.475728984,14.38435851,4.622737169,15.12735909,9.211504639,6.223649378,5.475515336,5.757661003,9.204037792,7.489097691,17.89257782,14.41612029
"32","220207_10",24.21839596,23.13822638,28.21015749,17.68203922,19.21667953,7.333895427,18.51581507,20.76597097,14.99389709,17.17799785,18.55883202,6.371706502,6.618769038,3.838671561,3.138539268,4.237228283,3.217372325,3.37109572,1.361483288,3.180515115,21.70625191,16.61673996
"33","220207_11",20.05049978,16.8778056,22.13965793,21.50001434,16.91466447,17.24161771,20.24782891,17.31123752,17.27438962,16.83092808,7.138858223,18.16426428,20.81796282,7.44877599,5.031189621,5.450296744,2.34147427,8.166302271,8.346661741,9.86501765,21.75175926,17.43709505
"34","220207_12",25.91652109,20.71917068,28.89460754,21.66701444,29.24496855,22.66312709,18.41086438,23.71450876,20.10033797,8.431705011,16.66303963,20.83979128,9.671008614,17.1123911,24.47072884,4.29930537,4.804837589,7.857321868,18.09179046,7.069079536,18.53438624,17.128104
